Entry ID,Contest Name,Contest ID,Entry Fee,P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,,,,,
,,,,,,,,,,,,,,,SP,Dillon Peters (13117311),Dillon Peters,13117311,P,5300,LAA@BOS 08/11/2019 01:05PM ET,LAA,10.34,,,Bartolo Colon,Bartolo Colon (13117313)
,,,,,,,,,,,,,,,OF,George Springer (13116184),George Springer,13116184,OF,5300,HOU@BAL 08/11/2019 01:05PM ET,HOU,10.88,,,Zach Davies,Zach Davies (13117314)
,,,,,,,,,,,,,,,RP,Chris Devenski (13117316),Chris Devenski,13117316,P,5300,HOU@BAL 08/11/2019 01:05PM ET,HOU,3.34,,,Xander Bogaerts,Xander Bogaerts (13116201)
,,,,,,,,,,,,,,,SP,Carson Fulmer (13117310),Carson Fulmer,13117310,P,5300,OAK@CWS 08/11/2019 02:10PM ET,CWS,2.99,,,Yuli Gurriel,Yuli Gurriel (13116203)
,,,,,,,,,,,,,,,SP,Liam Hendriks (13117315),Liam Hendriks,13117315,P,5300,OAK@CWS 08/11/2019 02:10PM ET,OAK,4.96,,,Alex Cobb,Alex Cobb (13117318)
,,,,,,,,,,,,,,,SP,Trent Thornton (13116176),Trent Thornton,13116176,P,5300,NYY@TOR 08/11/2019 01:07PM ET,TOR,10.16,,,Will Harris,Will Harris (13117322)
,,,,,,,,,,,,,,,SP,Thomas Hatch (13117312),Thomas Hatch,13117312,P,5300,CHC@CIN 08/11/2019 01:10PM ET,CHC,0,,,Shawn Armstrong,Shawn Armstrong (13117323)
,,,,,,,,,,,,,,,SP,Bartolo Colon (13117313),Bartolo Colon,13117313,P,5300,TEX@MIL 08/11/2019 02:10PM ET,TEX,0,,,Ross Detwiler,Ross Detwiler (13117320)
,,,,,,,,,,,,,,,SP,Zach Davies (13117314),Zach Davies,13117314,P,5300,TEX@MIL 08/11/2019 02:10PM ET,MIL,9.56,,,Mike Tauchman,Mike Tauchman (13116199)
,,,,,,,,,,,,,,,SS,Xander Bogaerts (13116201),Xander Bogaerts,13116201,SS,5200,LAA@BOS 08/11/2019 01:05PM ET,BOS,10.01,,,Dillon Maples,Dillon Maples (13117321)
,,,,,,,,,,,,,,,1B/3B,Yuli Gurriel (13116203),Yuli Gurriel,13116203,1B/3B,5200,HOU@BAL 08/11/2019 01:05PM ET,HOU,9.12,,,Drew VerHagen,Drew VerHagen (13117317)
,,,,,,,,,,,,,,,SP,Alex Cobb (13117318),Alex Cobb,13117318,P,5200,HOU@BAL 08/11/2019 01:05PM ET,BAL,-0.02,,,Jacob Turner,Jacob Turner (13117319)
,,,,,,,,,,,,,,,RP,Will Harris (13117322),Will Harris,13117322,P,5200,HOU@BAL 08/11/2019 01:05PM ET,HOU,2.91,,,Max Kepler,Max Kepler (13116195)
,,,,,,,,,,,,,,,RP,Shawn Armstrong (13117323),Shawn Armstrong,13117323,P,5200,HOU@BAL 08/11/2019 01:05PM ET,BAL,2.73,,,J.D. Martinez,J.D. Martinez (13116189)
,,,,,,,,,,,,,,,SP,Ross Detwiler (13117320),Ross Detwiler,13117320,P,5200,OAK@CWS 08/11/2019 02:10PM ET,CWS,5.84,,,Carlos Correa,Carlos Correa (13116200)
,,,,,,,,,,,,,,,OF,Mike Tauchman (13116199),Mike Tauchman,13116199,OF,5200,NYY@TOR 08/11/2019 01:07PM ET,NYY,8.2,,,Gio Urshela,Gio Urshela (13116211)
,,,,,,,,,,,,,,,RP,Dillon Maples (13117321),Dillon Maples,13117321,P,5200,CHC@CIN 08/11/2019 01:10PM ET,CHC,2.56,,,Tommy Kahnle,Tommy Kahnle (13117327)
,,,,,,,,,,,,,,,SP,Drew VerHagen (13117317),Drew VerHagen,13117317,P,5200,KC@DET 08/11/2019 01:10PM ET,DET,1.45,,,Ozzie Albies,Ozzie Albies (13116205)
,,,,,,,,,,,,,,,SP,Jacob Turner (13117319),Jacob Turner,13117319,P,5200,KC@DET 08/11/2019 01:10PM ET,DET,0,,,Henderson Alvarez,Henderson Alvarez (13117324)
,,,,,,,,,,,,,,,OF,Max Kepler (13116195),Max Kepler,13116195,OF,5200,CLE@MIN 08/11/2019 02:10PM ET,MIN,9.64,,,Eddie Rosario,Eddie Rosario (13116206)
,,,,,,,,,,,,,,,OF,J.D. Martinez (13116189),J.D. Martinez,13116189,OF,5100,LAA@BOS 08/11/2019 01:05PM ET,BOS,9.64,,,Danny Santana,Danny Santana (13116185)
,,,,,,,,,,,,,,,SS,Carlos Correa (13116200),Carlos Correa,13116200,SS,5100,HOU@BAL 08/11/2019 01:05PM ET,HOU,9.41,,,Felipe Vazquez,Felipe Vazquez (13117325)
,,,,,,,,,,,,,,,3B,Gio Urshela (13116211),Gio Urshela,13116211,3B,5100,NYY@TOR 08/11/2019 01:07PM ET,NYY,7.88,,,Giovanny Gallegos,Giovanny Gallegos (13117326)
,,,,,,,,,,,,,,,RP,Tommy Kahnle (13117327),Tommy Kahnle,13117327,P,5100,NYY@TOR 08/11/2019 01:07PM ET,NYY,3.68,,,Hector Velazquez,Hector Velazquez (13117334)
,,,,,,,,,,,,,,,2B,Ozzie Albies (13116205),Ozzie Albies,13116205,2B,5100,ATL@MIA 08/11/2019 01:10PM ET,ATL,9.11,,,Dillon Tate,Dillon Tate (13117333)
,,,,,,,,,,,,,,,SP,Henderson Alvarez (13117324),Henderson Alvarez,13117324,P,5100,WAS@NYM 08/11/2019 01:10PM ET,WAS,0,,,Jace Fry,Jace Fry (13117337)
,,,,,,,,,,,,,,,OF,Eddie Rosario (13116206),Eddie Rosario,13116206,OF,5100,CLE@MIN 08/11/2019 02:10PM ET,MIN,9.02,,,Bud Norris,Bud Norris (13117329)
,,,,,,,,,,,,,,,1B/OF,Danny Santana (13116185),Danny Santana,13116185,1B/OF,5100,TEX@MIL 08/11/2019 02:10PM ET,TEX,9.08,,,Adam Ottavino,Adam Ottavino (13117335)
,,,,,,,,,,,,,,,RP,Felipe Vazquez (13117325),Felipe Vazquez,13117325,P,5100,PIT@STL 08/11/2019 02:15PM ET,PIT,4.92,,,Javier Baez,Javier Baez (13116207)
,,,,,,,,,,,,,,,RP,Giovanny Gallegos (13117326),Giovanny Gallegos,13117326,P,5100,PIT@STL 08/11/2019 02:15PM ET,STL,5.17,,,Heath Fillmyer,Heath Fillmyer (13117328)
,,,,,,,,,,,,,,,SP,Hector Velazquez (13117334),Hector Velazquez,13117334,P,5000,LAA@BOS 08/11/2019 01:05PM ET,BOS,3.72,,,Mike Montgomery,Mike Montgomery (13117331)
,,,,,,,,,,,,,,,SP,Dillon Tate (13117333),Dillon Tate,13117333,P,5000,HOU@BAL 08/11/2019 01:05PM ET,BAL,2.5,,,Conner Greene,Conner Greene (13117332)
,,,,,,,,,,,,,,,RP,Jace Fry (13117337),Jace Fry,13117337,P,5000,OAK@CWS 08/11/2019 02:10PM ET,CWS,2.19,,,Hector Noesi,Hector Noesi (13116177)
,,,,,,,,,,,,,,,RP,Bud Norris (13117329),Bud Norris,13117329,P,5000,NYY@TOR 08/11/2019 01:07PM ET,TOR,0,,,Elieser Hernandez,Elieser Hernandez (13117330)
,,,,,,,,,,,,,,,RP,Adam Ottavino (13117335),Adam Ottavino,13117335,P,5000,NYY@TOR 08/11/2019 01:07PM ET,NYY,3.99,,,Miguel Sano,Miguel Sano (13116209)
,,,,,,,,,,,,,,,SS,Javier Baez (13116207),Javier Baez,13116207,SS,5000,CHC@CIN 08/11/2019 01:10PM ET,CHC,9.51,,,Chase De Jong,Chase De Jong (13117336)
,,,,,,,,,,,,,,,SP,Heath Fillmyer (13117328),Heath Fillmyer,13117328,P,5000,KC@DET 08/11/2019 01:10PM ET,KC,0.24,,,Willie Calhoun,Willie Calhoun (13116202)
,,,,,,,,,,,,,,,SP,Mike Montgomery (13117331),Mike Montgomery,13117331,P,5000,KC@DET 08/11/2019 01:10PM ET,KC,3.97,,,Starling Marte,Starling Marte (13116210)
,,,,,,,,,,,,,,,SP,Conner Greene (13117332),Conner Greene,13117332,P,5000,KC@DET 08/11/2019 01:10PM ET,KC,0,,,Michael Brantley,Michael Brantley (13116208)
,,,,,,,,,,,,,,,SP,Hector Noesi (13116177),Hector Noesi,13116177,P,5000,ATL@MIA 08/11/2019 01:10PM ET,MIA,2.45,,,Hector Rondon,Hector Rondon (13117338)
,,,,,,,,,,,,,,,SP,Elieser Hernandez (13117330),Elieser Hernandez,13117330,P,5000,ATL@MIA 08/11/2019 01:10PM ET,MIA,8.54,,,Tanner Scott,Tanner Scott (13117344)
,,,,,,,,,,,,,,,3B,Miguel Sano (13116209),Miguel Sano,13116209,3B,5000,CLE@MIN 08/11/2019 02:10PM ET,MIN,8.84,,,Justin Nicolino,Justin Nicolino (13117341)
,,,,,,,,,,,,,,,RP,Chase De Jong (13117336),Chase De Jong,13117336,P,5000,CLE@MIN 08/11/2019 02:10PM ET,MIN,-9.35,,,Norge Ruiz,Norge Ruiz (13117342)
,,,,,,,,,,,,,,,OF,Willie Calhoun (13116202),Willie Calhoun,13116202,OF,5000,TEX@MIL 08/11/2019 02:10PM ET,TEX,8.34,,,Mike Zagurski,Mike Zagurski (13117339)
,,,,,,,,,,,,,,,OF,Starling Marte (13116210),Starling Marte,13116210,OF,5000,PIT@STL 08/11/2019 02:15PM ET,PIT,9.81,,,Pete Alonso,Pete Alonso (13116212)
,,,,,,,,,,,,,,,OF,Michael Brantley (13116208),Michael Brantley,13116208,OF,4900,HOU@BAL 08/11/2019 01:05PM ET,HOU,8.91,,,Jeff McNeil,Jeff McNeil (13116215)
,,,,,,,,,,,,,,,SP,Hector Rondon (13117338),Hector Rondon,13117338,P,4900,HOU@BAL 08/11/2019 01:05PM ET,HOU,2.25,,,Anthony Rendon,Anthony Rendon (13116217)
,,,,,,,,,,,,,,,RP,Tanner Scott (13117344),Tanner Scott,13117344,P,4900,HOU@BAL 08/11/2019 01:05PM ET,BAL,3.03,,,Francisco Lindor,Francisco Lindor (13116221)
,,,,,,,,,,,,,,,SP,Justin Nicolino (13117341),Justin Nicolino,13117341,P,4900,OAK@CWS 08/11/2019 02:10PM ET,CWS,0,,,Adrian Houser,Adrian Houser (13117343)
,,,,,,,,,,,,,,,SP,Norge Ruiz (13117342),Norge Ruiz,13117342,P,4900,OAK@CWS 08/11/2019 02:10PM ET,OAK,0,,,Marcell Ozuna,Marcell Ozuna (13116222)
,,,,,,,,,,,,,,,RP,Mike Zagurski (13117339),Mike Zagurski,13117339,P,4900,CHC@CIN 08/11/2019 01:10PM ET,CHC,0,,,Jake Woodford,Jake Woodford (13117340)
,,,,,,,,,,,,,,,1B,Pete Alonso (13116212),Pete Alonso,13116212,1B,4900,WAS@NYM 08/11/2019 01:10PM ET,NYM,9.51,,,Shohei Ohtani,Shohei Ohtani (13116219)
,,,,,,,,,,,,,,,2B/OF,Jeff McNeil (13116215),Jeff McNeil,13116215,2B/OF,4900,WAS@NYM 08/11/2019 01:10PM ET,NYM,8.76,,,Matt Harvey,Matt Harvey (13117350)
,,,,,,,,,,,,,,,3B,Anthony Rendon (13116217),Anthony Rendon,13116217,3B,4900,WAS@NYM 08/11/2019 01:10PM ET,WAS,10.59,,,Mychal Givens,Mychal Givens (13117347)
,,,,,,,,,,,,,,,SS,Francisco Lindor (13116221),Francisco Lindor,13116221,SS,4900,CLE@MIN 08/11/2019 02:10PM ET,CLE,9.76,,,Bo Bichette,Bo Bichette (13116214)
,,,,,,,,,,,,,,,SP,Adrian Houser (13117343),Adrian Houser,13117343,P,4900,TEX@MIL 08/11/2019 02:10PM ET,MIL,7.99,,,Cameron Maybin,Cameron Maybin (13116218)
,,,,,,,,,,,,,,,OF,Marcell Ozuna (13116222),Marcell Ozuna,13116222,OF,4900,PIT@STL 08/11/2019 02:15PM ET,STL,9.24,,,Gary Sanchez,Gary Sanchez (13116281)
,,,,,,,,,,,,,,,SP,Jake Woodford (13117340),Jake Woodford,13117340,P,4900,PIT@STL 08/11/2019 02:15PM ET,STL,0,,,Nick Kingham,Nick Kingham (13117351)
,,,,,,,,,,,,,,,OF,Shohei Ohtani (13116219),Shohei Ohtani,13116219,OF,4800,LAA@BOS 08/11/2019 01:05PM ET,LAA,8.23,,,David Hale,David Hale (13117352)
,,,,,,,,,,,,,,,SP,Matt Harvey (13117350),Matt Harvey,13117350,P,4800,LAA@BOS 08/11/2019 01:05PM ET,LAA,6.1,,,Eugenio Suarez,Eugenio Suarez (13116226)
,,,,,,,,,,,,,,,RP,Mychal Givens (13117347),Mychal Givens,13117347,P,4800,HOU@BAL 08/11/2019 01:05PM ET,BAL,4.04,,,Jorge Lopez,Jorge Lopez (13117349)
,,,,,,,,,,,,,,,SS,Bo Bichette (13116214),Bo Bichette,13116214,SS,4800,NYY@TOR 08/11/2019 01:07PM ET,TOR,11.92,,,Grant Dayton,Grant Dayton (13117345)
,,,,,,,,,,,,,,,OF,Cameron Maybin (13116218),Cameron Maybin,13116218,OF,4800,NYY@TOR 08/11/2019 01:07PM ET,NYY,7.89,,,Michael Conforto,Michael Conforto (13116220)
,,,,,,,,,,,,,,,C,Gary Sanchez (13116281),Gary Sanchez,13116281,C,4800,NYY@TOR 08/11/2019 01:07PM ET,NYY,8.6,,,Nick Goody,Nick Goody (13117346)
,,,,,,,,,,,,,,,SP,Nick Kingham (13117351),Nick Kingham,13117351,P,4800,NYY@TOR 08/11/2019 01:07PM ET,TOR,3.26,,,Joey Gallo,Joey Gallo (13116213)
,,,,,,,,,,,,,,,RP,David Hale (13117352),David Hale,13117352,P,4800,NYY@TOR 08/11/2019 01:07PM ET,NYY,4.72,,,Keston Hiura,Keston Hiura (13116223)
,,,,,,,,,,,,,,,3B,Eugenio Suarez (13116226),Eugenio Suarez,13116226,3B,4800,CHC@CIN 08/11/2019 01:10PM ET,CIN,8.59,,,Josh Bell,Josh Bell (13116264)
,,,,,,,,,,,,,,,SP,Jorge Lopez (13117349),Jorge Lopez,13117349,P,4800,KC@DET 08/11/2019 01:10PM ET,KC,5.11,,,Montana DuRapau,Montana DuRapau (13117348)
,,,,,,,,,,,,,,,RP,Grant Dayton (13117345),Grant Dayton,13117345,P,4800,ATL@MIA 08/11/2019 01:10PM ET,ATL,2.9,,,Mitch Moreland,Mitch Moreland (13116259)
,,,,,,,,,,,,,,,OF,Michael Conforto (13116220),Michael Conforto,13116220,OF,4800,WAS@NYM 08/11/2019 01:10PM ET,NYM,8.85,,,Lourdes Gurriel Jr.,Lourdes Gurriel Jr. (13116227)
,,,,,,,,,,,,,,,RP,Nick Goody (13117346),Nick Goody,13117346,P,4800,CLE@MIN 08/11/2019 02:10PM ET,CLE,5.27,,,Giancarlo Stanton,Giancarlo Stanton (13116228)
,,,,,,,,,,,,,,,OF,Joey Gallo (13116213),Joey Gallo,13116213,OF,4800,TEX@MIL 08/11/2019 02:10PM ET,TEX,10.09,,,Aaron Hicks,Aaron Hicks (13116229)
,,,,,,,,,,,,,,,2B,Keston Hiura (13116223),Keston Hiura,13116223,2B,4800,TEX@MIL 08/11/2019 02:10PM ET,MIL,9.67,,,Whit Merrifield,Whit Merrifield (13116232)
,,,,,,,,,,,,,,,1B,Josh Bell (13116264),Josh Bell,13116264,1B,4800,PIT@STL 08/11/2019 02:15PM ET,PIT,9.63,,,Ryan Carpenter,Ryan Carpenter (13117356)
,,,,,,,,,,,,,,,SP,Montana DuRapau (13117348),Montana DuRapau,13117348,P,4800,PIT@STL 08/11/2019 02:15PM ET,PIT,2.05,,,Josh Donaldson,Josh Donaldson (13116230)
,,,,,,,,,,,,,,,1B,Mitch Moreland (13116259),Mitch Moreland,13116259,1B,4700,LAA@BOS 08/11/2019 01:05PM ET,BOS,7.68,,,Kyle Keller,Kyle Keller (13117354)
,,,,,,,,,,,,,,,OF,Lourdes Gurriel Jr. (13116227),Lourdes Gurriel Jr.,13116227,OF,4700,NYY@TOR 08/11/2019 01:07PM ET,TOR,8.82,,,Jorge Polanco,Jorge Polanco (13116234)
,,,,,,,,,,,,,,,OF,Giancarlo Stanton (13116228),Giancarlo Stanton,13116228,OF,4700,NYY@TOR 08/11/2019 01:07PM ET,NYY,8,,,Tyler Clippard,Tyler Clippard (13117353)
,,,,,,,,,,,,,,,OF,Aaron Hicks (13116229),Aaron Hicks,13116229,OF,4700,NYY@TOR 08/11/2019 01:07PM ET,NYY,8.15,,,Andrew Vasquez,Andrew Vasquez (13117355)
,,,,,,,,,,,,,,,2B/OF,Whit Merrifield (13116232),Whit Merrifield,13116232,2B/OF,4700,KC@DET 08/11/2019 01:10PM ET,KC,9.3,,,Ian Gibaut,Ian Gibaut (13117357)
,,,,,,,,,,,,,,,SP,Ryan Carpenter (13117356),Ryan Carpenter,13117356,P,4700,KC@DET 08/11/2019 01:10PM ET,DET,1.77,,,Taylor Guerrieri,Taylor Guerrieri (13117358)
,,,,,,,,,,,,,,,3B,Josh Donaldson (13116230),Josh Donaldson,13116230,3B,4700,ATL@MIA 08/11/2019 01:10PM ET,ATL,8.62,,,Steven Brault,Steven Brault (13116178)
,,,,,,,,,,,,,,,RP,Kyle Keller (13117354),Kyle Keller,13117354,P,4700,ATL@MIA 08/11/2019 01:10PM ET,MIA,2.55,,,Andrew Benintendi,Andrew Benintendi (13116224)
,,,,,,,,,,,,,,,SS,Jorge Polanco (13116234),Jorge Polanco,13116234,SS,4700,CLE@MIN 08/11/2019 02:10PM ET,MIN,8.92,,,Trevor Cahill,Trevor Cahill (13117369)
,,,,,,,,,,,,,,,SP,Tyler Clippard (13117353),Tyler Clippard,13117353,P,4700,CLE@MIN 08/11/2019 02:10PM ET,CLE,3.65,,,Ty Buttrey,Ty Buttrey (13117371)
,,,,,,,,,,,,,,,RP,Andrew Vasquez (13117355),Andrew Vasquez,13117355,P,4700,CLE@MIN 08/11/2019 02:10PM ET,MIN,-7.8,,,Framber Valdez,Framber Valdez (13117363)
,,,,,,,,,,,,,,,RP,Ian Gibaut (13117357),Ian Gibaut,13117357,P,4700,TEX@MIL 08/11/2019 02:10PM ET,TEX,2.7,,,Ryan Buchter,Ryan Buchter (13117368)
,,,,,,,,,,,,,,,RP,Taylor Guerrieri (13117358),Taylor Guerrieri,13117358,P,4700,TEX@MIL 08/11/2019 02:10PM ET,TEX,3.42,,,Alex Colome,Alex Colome (13117370)
,,,,,,,,,,,,,,,SP,Steven Brault (13116178),Steven Brault,13116178,P,4700,PIT@STL 08/11/2019 02:15PM ET,PIT,8.25,,,Brett Gardner,Brett Gardner (13116231)
,,,,,,,,,,,,,,,OF,Andrew Benintendi (13116224),Andrew Benintendi,13116224,OF,4600,LAA@BOS 08/11/2019 01:05PM ET,BOS,8.88,,,Cavan Biggio,Cavan Biggio (13116257)
,,,,,,,,,,,,,,,SP,Trevor Cahill (13117369),Trevor Cahill,13117369,P,4600,LAA@BOS 08/11/2019 01:05PM ET,LAA,5.31,,,Anthony Rizzo,Anthony Rizzo (13116258)
,,,,,,,,,,,,,,,RP,Ty Buttrey (13117371),Ty Buttrey,13117371,P,4600,LAA@BOS 08/11/2019 01:05PM ET,LAA,3.53,,,Tyler Chatwood,Tyler Chatwood (13117364)
,,,,,,,,,,,,,,,SP,Framber Valdez (13117363),Framber Valdez,13117363,P,4600,HOU@BAL 08/11/2019 01:05PM ET,HOU,5.2,,,Scott Blewett,Scott Blewett (13117359)
,,,,,,,,,,,,,,,RP,Ryan Buchter (13117368),Ryan Buchter,13117368,P,4600,OAK@CWS 08/11/2019 02:10PM ET,OAK,1.7,,,Sandy Baez,Sandy Baez (13117361)
,,,,,,,,,,,,,,,RP,Alex Colome (13117370),Alex Colome,13117370,P,4600,OAK@CWS 08/11/2019 02:10PM ET,CWS,3.04,,,Brian Anderson,Brian Anderson (13116239)
,,,,,,,,,,,,,,,OF,Brett Gardner (13116231),Brett Gardner,13116231,OF,4600,NYY@TOR 08/11/2019 01:07PM ET,NYY,7.81,,,Trea Turner,Trea Turner (13116238)
,,,,,,,,,,,,,,,2B,Cavan Biggio (13116257),Cavan Biggio,13116257,2B,4600,NYY@TOR 08/11/2019 01:07PM ET,TOR,7.87,,,Matt Grace,Matt Grace (13117360)
,,,,,,,,,,,,,,,1B,Anthony Rizzo (13116258),Anthony Rizzo,13116258,1B,4600,CHC@CIN 08/11/2019 01:10PM ET,CHC,9.04,,,Daniel Zamora,Daniel Zamora (13117365)
,,,,,,,,,,,,,,,SP,Tyler Chatwood (13117364),Tyler Chatwood,13117364,P,4600,CHC@CIN 08/11/2019 01:10PM ET,CHC,5.29,,,Luis Avilan,Luis Avilan (13117366)
,,,,,,,,,,,,,,,SP,Scott Blewett (13117359),Scott Blewett,13117359,P,4600,KC@DET 08/11/2019 01:10PM ET,KC,0,,,Ryan O'Rourke,Ryan O'Rourke (13117367)
,,,,,,,,,,,,,,,SP,Sandy Baez (13117361),Sandy Baez,13117361,P,4600,KC@DET 08/11/2019 01:10PM ET,DET,-0.95,,,Jose Ramirez,Jose Ramirez (13116242)
,,,,,,,,,,,,,,,3B/OF,Brian Anderson (13116239),Brian Anderson,13116239,3B/OF,4600,ATL@MIA 08/11/2019 01:10PM ET,MIA,7.6,,,Shin-soo Choo,Shin-soo Choo (13116225)
,,,,,,,,,,,,,,,SS,Trea Turner (13116238),Trea Turner,13116238,SS,4600,WAS@NYM 08/11/2019 01:10PM ET,WAS,10.06,,,Luke Gregerson,Luke Gregerson (13117362)
,,,,,,,,,,,,,,,SP,Matt Grace (13117360),Matt Grace,13117360,P,4600,WAS@NYM 08/11/2019 01:10PM ET,WAS,1.39,,,Justin Anderson,Justin Anderson (13117383)
,,,,,,,,,,,,,,,RP,Daniel Zamora (13117365),Daniel Zamora,13117365,P,4600,WAS@NYM 08/11/2019 01:10PM ET,NYM,0.82,,,Aledmys Diaz,Aledmys Diaz (13116254)
,,,,,,,,,,,,,,,RP,Luis Avilan (13117366),Luis Avilan,13117366,P,4600,WAS@NYM 08/11/2019 01:10PM ET,NYM,2.21,,,Dean Deetz,Dean Deetz (13117372)
,,,,,,,,,,,,,,,RP,Ryan O'Rourke (13117367),Ryan O'Rourke,13117367,P,4600,WAS@NYM 08/11/2019 01:10PM ET,NYM,1.6,,,Gabriel Ynoa,Gabriel Ynoa (13117381)
,,,,,,,,,,,,,,,3B,Jose Ramirez (13116242),Jose Ramirez,13116242,3B,4600,CLE@MIN 08/11/2019 02:10PM ET,CLE,8.54,,,Ramon Laureano,Ramon Laureano (13116266)
,,,,,,,,,,,,,,,OF,Shin-soo Choo (13116225),Shin-soo Choo,13116225,OF,4600,TEX@MIL 08/11/2019 02:10PM ET,TEX,8.49,,,Kris Bryant,Kris Bryant (13116261)
,,,,,,,,,,,,,,,RP,Luke Gregerson (13117362),Luke Gregerson,13117362,P,4600,PIT@STL 08/11/2019 02:15PM ET,STL,-0.08,,,Steve Cishek,Steve Cishek (13117382)
,,,,,,,,,,,,,,,RP,Justin Anderson (13117383),Justin Anderson,13117383,P,4500,LAA@BOS 08/11/2019 01:05PM ET,LAA,2.85,,,Adalberto Mondesi,Adalberto Mondesi (13116235)
,,,,,,,,,,,,,,,1B/2B,Aledmys Diaz (13116254),Aledmys Diaz,13116254,1B/2B,4500,HOU@BAL 08/11/2019 01:05PM ET,HOU,7.15,,,Jorge Soler,Jorge Soler (13116236)
,,,,,,,,,,,,,,,RP,Dean Deetz (13117372),Dean Deetz,13117372,P,4500,HOU@BAL 08/11/2019 01:05PM ET,HOU,0,,,Hunter Dozier,Hunter Dozier (13116241)
,,,,,,,,,,,,,,,SP,Gabriel Ynoa (13117381),Gabriel Ynoa,13117381,P,4500,HOU@BAL 08/11/2019 01:05PM ET,BAL,4.41,,,Glenn Sparkman,Glenn Sparkman (13117377)
,,,,,,,,,,,,,,,OF,Ramon Laureano (13116266),Ramon Laureano,13116266,OF,4500,OAK@CWS 08/11/2019 02:10PM ET,OAK,8.39,,,Anthony Swarzak,Anthony Swarzak (13117379)
,,,,,,,,,,,,,,,3B/OF,Kris Bryant (13116261),Kris Bryant,13116261,3B/OF,4500,CHC@CIN 08/11/2019 01:10PM ET,CHC,9.1,,,Fernando Rodney,Fernando Rodney (13117378)
,,,,,,,,,,,,,,,RP,Steve Cishek (13117382),Steve Cishek,13117382,P,4500,CHC@CIN 08/11/2019 01:10PM ET,CHC,2.57,,,Carlos Santana,Carlos Santana (13116256)
,,,,,,,,,,,,,,,SS,Adalberto Mondesi (13116235),Adalberto Mondesi,13116235,SS,4500,KC@DET 08/11/2019 01:10PM ET,KC,9.54,,,Trevor May,Trevor May (13117376)
,,,,,,,,,,,,,,,OF,Jorge Soler (13116236),Jorge Soler,13116236,OF,4500,KC@DET 08/11/2019 01:10PM ET,KC,8.6,,,Sergio Romo,Sergio Romo (13117380)
,,,,,,,,,,,,,,,3B,Hunter Dozier (13116241),Hunter Dozier,13116241,3B,4500,KC@DET 08/11/2019 01:10PM ET,KC,8.85,,,Elvis Andrus,Elvis Andrus (13116237)
,,,,,,,,,,,,,,,SP,Glenn Sparkman (13117377),Glenn Sparkman,13117377,P,4500,KC@DET 08/11/2019 01:10PM ET,KC,6.16,,,Ryan Braun,Ryan Braun (13116263)
,,,,,,,,,,,,,,,RP,Anthony Swarzak (13117379),Anthony Swarzak,13117379,P,4500,ATL@MIA 08/11/2019 01:10PM ET,ATL,2.79,,,Adrian Sampson,Adrian Sampson (13117373)
,,,,,,,,,,,,,,,RP,Fernando Rodney (13117378),Fernando Rodney,13117378,P,4500,WAS@NYM 08/11/2019 01:10PM ET,WAS,1.5,,,Josh Hader,Josh Hader (13117375)
,,,,,,,,,,,,,,,1B,Carlos Santana (13116256),Carlos Santana,13116256,1B,4500,CLE@MIN 08/11/2019 02:10PM ET,CLE,9.06,,,Chasen Shreve,Chasen Shreve (13117374)
,,,,,,,,,,,,,,,RP,Trevor May (13117376),Trevor May,13117376,P,4500,CLE@MIN 08/11/2019 02:10PM ET,MIN,3.12,,,Brian Goodwin,Brian Goodwin (13116260)
,,,,,,,,,,,,,,,RP,Sergio Romo (13117380),Sergio Romo,13117380,P,4500,CLE@MIN 08/11/2019 02:10PM ET,MIN,2.84,,,Christian Vazquez,Christian Vazquez (13116279)
,,,,,,,,,,,,,,,SS,Elvis Andrus (13116237),Elvis Andrus,13116237,SS,4500,TEX@MIL 08/11/2019 02:10PM ET,TEX,8.45,,,Taylor Cole,Taylor Cole (13117384)
,,,,,,,,,,,,,,,OF,Ryan Braun (13116263),Ryan Braun,13116263,OF,4500,TEX@MIL 08/11/2019 02:10PM ET,MIL,7.01,,,Reymin Guduan,Reymin Guduan (13117392)
,,,,,,,,,,,,,,,SP,Adrian Sampson (13117373),Adrian Sampson,13117373,P,4500,TEX@MIL 08/11/2019 02:10PM ET,TEX,8.34,,,Tom Eshelman,Tom Eshelman (13117393)
,,,,,,,,,,,,,,,RP,Josh Hader (13117375),Josh Hader,13117375,P,4500,TEX@MIL 08/11/2019 02:10PM ET,MIL,6.38,,,Yoan Moncada,Yoan Moncada (13116243)
,,,,,,,,,,,,,,,RP,Chasen Shreve (13117374),Chasen Shreve,13117374,P,4500,PIT@STL 08/11/2019 02:15PM ET,STL,2.03,,,Tim Anderson,Tim Anderson (13116265)
,,,,,,,,,,,,,,,OF,Brian Goodwin (13116260),Brian Goodwin,13116260,OF,4400,LAA@BOS 08/11/2019 01:05PM ET,LAA,6.03,,,Luke Voit,Luke Voit (13116244)
,,,,,,,,,,,,,,,C,Christian Vazquez (13116279),Christian Vazquez,13116279,C,4400,LAA@BOS 08/11/2019 01:05PM ET,BOS,7.18,,,Aaron Judge,Aaron Judge (13116248)
,,,,,,,,,,,,,,,SP,Taylor Cole (13117384),Taylor Cole,13117384,P,4400,LAA@BOS 08/11/2019 01:05PM ET,LAA,3.89,,,Gleyber Torres,Gleyber Torres (13116250)
