Name,Salary,Team,Pos,Opp,Proj_FP
Derrian Brown,3000,TEX,RB,KANST,0.0
Ronald Thompkins,3200,NEB,RB,PURDUE,2.2
Steele Chambers,3000,OHIOST,RB,MSU,3.4
Hayden Rucci,3000,WISC,WR,IND,0.0
Clay Cundiff,3000,WISC,WR,IND,0.0
Cooper Nelson,3000,WISC,WR,IND,0.0
Mark-Antony Richards,3100,AUBURN,RB,TEXA&M,3.7
Demariyon Houston,3000,NEB,WR,PURDUE,0.0
J.D. Carney,4500,ND,QB,SYR,0.0
David Summers,4500,SYR,QB,ND,0.0
TJ Sheffield,3000,PURDUE,WR,NEB,0.6
Garrett Miller,3500,PURDUE,WR,NEB,6.4
Da'Joun Hewitt,3000,PURDUE,RB,NEB,0.0
Mershawn Rice,3000,PURDUE,WR,NEB,0.0
Kory Taylor,3000,PURDUE,WR,NEB,0.0
Luke Wentz,3000,UVA,WR,BC,0.0
Trent Pennix,3000,NCSU,RB,GATECH,3.9
Zack Dobson,3000,WVU,WR,IAST,0.0
Logan Carter,3300,OKST,RB,TCU,4.5
Ja'Varrius Johnson,3000,AUBURN,WR,TEXA&M,0.0
Alex Padilla,5000,IOWA,QB,ILL,1.2
Josiah Miamen,3000,IOWA,WR,ILL,0.0
Tyler Fromm,3000,AUBURN,WR,TEXA&M,0.0
Luke Deal,3000,AUBURN,WR,TEXA&M,1.4
Ezeriah Anderson,3000,IAST,WR,WVU,0.0
Darien Porter,3000,IAST,WR,WVU,0.0
Dylan Deveney,3000,GATECH,WR,NCSU,3.5
Austin Allen,3400,NEB,WR,PURDUE,6.2
Kurt Rafdal,3000,NEB,WR,PURDUE,1.1
A.J. Abbott,3000,WISC,WR,IND,0.0
Jack Eschenbach,3000,WISC,WR,IND,1.5
Landry Weber,3000,KANST,WR,TEX,0.0
Jafar Armstrong,3000,ND,RB,SYR,3.4
Ellijah Gardiner,3000,OHIOST,WR,MSU,0.0
John Chenal,3000,WISC,RB,IND,6.7
Laress Nelson,3000,MSU,WR,OHIOST,0.0
Cord Sandberg,4500,AUBURN,QB,TEXA&M,0.0
Ethan Fischler,3000,SYR,WR,ND,0.0
Cooper Lutz,3000,SYR,RB,ND,3.7
Max Fisher,3000,NCSU,WR,GATECH,0.0
Mason Stokke,3300,WISC,RB,IND,7.9
Matt Bjorson,3000,IND,WR,WISC,1.1
Derius Davis,3600,TCU,WR,OKST,4.6
Joe Wilkins,3300,ND,WR,SYR,6.4
T.J. Banks,3000,WVU,WR,IAST,2.8
Ryan Renick,3200,TEXA&M,WR,AUBURN,8.7
Jakari Norwood,3000,ILL,RB,IOWA,0.1
Carlos Sandy,3000,ILL,WR,IOWA,0.0
Kenyon Sims,3000,ILL,RB,IOWA,0.0
Christian Banker,3000,NEB,WR,PURDUE,0.0
Bennett Folkers,3000,NEB,WR,PURDUE,0.0
Kamryn Babb,3000,OHIOST,WR,MSU,0.0
Jordan Chin,3100,WASH,WR,STAN,1.3
Adam Krumholz,3200,WISC,WR,IND,3.5
Matt Valecce,4500,BC,QB,UVA,0.0
Dillon Markiewicz,4500,SYR,QB,ND,0.0
Trebor Pena,3000,SYR,WR,ND,1.4
Justin Barron,3000,SYR,WR,ND,0.0
Steven Mahar,3000,SYR,WR,ND,0.0
Damien Alford,3000,SYR,WR,ND,0.7
Maximilian Mang,3000,SYR,WR,ND,0.0
Ja'Vontae Williams,3000,SYR,WR,ND,0.0
Sam Warren,3000,SYR,WR,ND,0.0
Markquan Rucker,3000,WVU,RB,IAST,0.0
Joshua Rawlings,3000,UVA,WR,BC,0.0
Andrew Yavinsky,3000,UVA,RB,BC,0.0
Perris Jones,3000,UVA,RB,BC,0.8
Mike Kosar,3000,UVA,WR,BC,0.0
T.J. Kitts,3000,UVA,WR,BC,0.0
Darvon Hubbard,3000,TEXA&M,RB,AUBURN,0.2
Kevin Thomson,4500,WASH,QB,STAN,0.0
Xavier Watts,3000,ND,WR,SYR,0.0
Jay Brunelle,3000,ND,WR,SYR,0.0
Kevin Bauman,3000,ND,WR,SYR,1.5
Cole Capen,4500,ND,QB,SYR,0.0
Cameron Ekanayake,3000,ND,RB,SYR,0.0
Conor Ratigan,3000,ND,WR,SYR,0.0
Greg Mailey,3000,ND,WR,SYR,0.0
Matt Salerno,3000,ND,WR,SYR,0.0
Leo Albano,3000,ND,WR,SYR,0.0
Jack Henige,3000,ND,WR,SYR,0.0
Xavier Lezynski,3000,ND,WR,SYR,0.0
Jack Miller,4500,OHIOST,QB,MSU,8.3
C.J. Stroud,4500,OHIOST,QB,MSU,0.0
J.P. Andrade,4500,OHIOST,QB,MSU,0.0
Danny Vanatsky,4500,OHIOST,QB,MSU,0.0
Mookie Cooper,3000,OHIOST,WR,MSU,0.0
Joe Royer,3000,OHIOST,WR,MSU,0.0
Sam Wiglusz,3000,OHIOST,WR,MSU,0.0
Chris Booker,3000,OHIOST,WR,MSU,0.0
Kai Jarmon,3000,TEX,WR,KANST,0.0
Travis West,3000,TEX,WR,KANST,0.0
Nathan Hatter,3000,TEX,WR,KANST,0.0
Taji Johnson,3000,BC,WR,UVA,0.0
Andre Hines,3000,BC,RB,UVA,0.0
Peter Stehr,3000,BC,RB,UVA,0.0
Matthew Rueve,4500,BC,QB,UVA,0.0
Charlie Gordinier,3000,BC,WR,UVA,0.0
Drew McQuarrie,3000,BC,WR,UVA,0.0
Brendan Smith,3000,BC,WR,UVA,0.0
Spencer Witter,3000,BC,WR,UVA,3.3
Sterling Jackson,3000,TCU,RB,OKST,0.0
Alijah Wood,3000,TCU,RB,OKST,0.0
Deryl Reynolds,3000,TCU,RB,OKST,0.0
Dominic Richardson,3000,OKST,RB,TCU,2.6
Brent Matiscik,3000,TCU,WR,OKST,0.0
Carter Ware,3200,TCU,WR,OKST,4.3
Dominic DiNunzio,3000,TCU,WR,OKST,0.0
Drew Pyne,8100,ND,QB,SYR,0.6
Jordan Johnson,3000,ND,WR,SYR,0.0
Colby Bowman,3000,STAN,WR,WASH,0.0
Dylan Plautz,4500,STAN,QB,WASH,0.0
E.J. Smith,3000,STAN,RB,WASH,2.3
Casey Filkins,3000,STAN,RB,WASH,0.4
Bryce Farrell,3000,STAN,WR,WASH,0.0
John Humphreys,3000,STAN,WR,WASH,0.8
Silas Starr,3000,STAN,WR,WASH,0.0
Lukas Ungar,3000,STAN,WR,WASH,0.0
Benjamin Yurosek,3000,STAN,WR,WASH,0.0
Beau Nelson,4500,STAN,QB,WASH,0.0
TaeVeon Le,3000,STAN,WR,WASH,0.0
Kyle McCombs,3000,STAN,WR,WASH,0.0
Bradley Archer,3000,STAN,WR,WASH,0.0
Cameron McFarlane,3000,STAN,RB,WASH,0.0
Cameron Buzzell,3000,STAN,WR,WASH,0.0
Marcus Graham,3000,STAN,WR,WASH,0.0
Levi Falck,3400,NEB,WR,PURDUE,4.0
Rome Odunze,3000,WASH,WR,STAN,0.4
Jalen McMillan,3000,WASH,WR,STAN,0.7
Andrew Harvey,4500,NCSU,QB,GATECH,0.0
Keon Caudle,3000,NCSU,RB,GATECH,0.0
Delbert Mimms,3000,NCSU,RB,GATECH,0.0
Demarcus Jones,3000,NCSU,RB,GATECH,0.0
Joey Ray,3000,NCSU,RB,GATECH,0.0
Eric Collins,3000,NCSU,WR,GATECH,0.0
Porter Rooks,3000,NCSU,WR,GATECH,4.2
Keyon Lesane,3000,NCSU,WR,GATECH,2.2
Jalen Coit,3000,NCSU,WR,GATECH,0.0
Christopher Scott,3200,NCSU,WR,GATECH,6.9
Titus Dorsey,3000,NCSU,WR,GATECH,0.0
Nicholas Treco,3000,NCSU,WR,GATECH,0.0
Christopher Toudle,3000,NCSU,WR,GATECH,0.0
Dillon Mosley,3000,NCSU,WR,GATECH,0.0
Jackson DeSilva,3000,NCSU,WR,GATECH,0.0
Michael Fox,3000,NCSU,WR,GATECH,0.0
Justin Dunn,3000,NCSU,WR,GATECH,2.1
Josh Crabtree,3000,NCSU,WR,GATECH,0.0
Anthony Smith,3000,NCSU,WR,GATECH,6.0
Andrew Jayne,3000,NCSU,WR,GATECH,1.5
Matthew Alderfer,3000,NCSU,WR,GATECH,0.0
Timothy Dawkins,3000,NCSU,WR,GATECH,0.0
Ezemdi Udoh,3000,NCSU,WR,GATECH,0.0
Yates Johnson,3000,NCSU,WR,GATECH,0.0
Camden Woods,3000,NCSU,WR,GATECH,0.0
Kameron Walker,3000,NCSU,WR,GATECH,0.0
Thomas Ruocchio,3000,NCSU,WR,GATECH,0.0
Hayes Gibson,4500,IAST,QB,WVU,0.0
Blaze Doxzon,3000,IAST,RB,WVU,0.0
Tyler Moen,3000,IAST,RB,WVU,0.0
Daniel Jackson,3100,IAST,WR,WVU,3.9
Beau Coberley,3000,IAST,WR,WVU,0.0
Parker Rickert,3000,IAST,WR,WVU,0.0
Micheal Tweten,3000,IAST,WR,WVU,0.0
D'Shayne James,3000,IAST,WR,WVU,0.0
Aidan Bitter,3000,IAST,WR,WVU,2.4
Ryan Pritchard,3000,IAST,WR,WVU,0.0
Will Zahradnik,3000,IAST,WR,WVU,0.0
Jared Rus,3000,IAST,WR,WVU,0.0
Skylar Loving-Black,3000,IAST,WR,WVU,0.0
Jacob Hillmann,3000,IAST,WR,WVU,0.0
Mason Barta,3000,KANST,RB,TEX,1.8
Kirk Coomes,3000,KANST,RB,TEX,0.0
Jax Dineen,3100,KANST,RB,TEX,4.9
Jake Huggins,3000,KANST,RB,TEX,0.0
Christian Moore,3000,KANST,RB,TEX,0.0
Keyon Mozee,3000,KANST,RB,TEX,3.5
Kaelen Shankle,3000,KANST,RB,TEX,0.0
Ty Bowman,3000,KANST,WR,TEX,0.0
Thomas Helten,3000,KANST,WR,TEX,0.0
Eric Hommel,3000,KANST,WR,TEX,0.0
Gabe Hoover,3000,KANST,WR,TEX,0.0
C.J. Horton,3000,KANST,WR,TEX,0.0
Elliot Ollenburger,3000,KANST,WR,TEX,0.0
Riley Petz,3000,KANST,WR,TEX,0.0
Seth Porter,3000,KANST,WR,TEX,0.0
Jaelon Travis,3000,KANST,WR,TEX,0.0
Dylan Wentzel,3000,KANST,WR,TEX,0.0
Cameron Cotton,3000,KANST,WR,TEX,0.0
Hillard Cozine,3000,KANST,WR,TEX,0.0
Konner Fox,3000,KANST,WR,TEX,1.6
Ben Sinnott,3000,KANST,WR,TEX,0.0
Cody Stufflebean,3000,KANST,WR,TEX,0.0
Will Swanson,3000,KANST,WR,TEX,0.0
Haakon Anderson,3000,WISC,WR,IND,0.0
Javon Swinton,3000,IND,WR,WISC,3.1
AJ Barner,3000,IND,WR,WISC,0.0
Charlie Spegal,3000,IND,RB,WISC,0.0
Davion Ervin-Poindexter,3000,IND,RB,WISC,0.0
Chris Childers,3000,IND,RB,WISC,0.0
David Baker,3000,IND,WR,WISC,0.0
Luke Shayotovich,3000,IND,WR,WISC,0.0
Christian Harris,3000,IND,WR,WISC,0.0
McCall Ray,3000,IND,WR,WISC,0.0
Ryan Barnes,3000,IND,WR,WISC,0.0
Trey Walker,3000,IND,WR,WISC,0.0
Keontae Luckett,3000,IOWA,RB,ILL,0.0
Nolan Donald,3000,IOWA,WR,ILL,0.0
Jamison Heinz,3000,IOWA,WR,ILL,0.0
Jack Johnson,3000,IOWA,WR,ILL,0.0
Alec Kritta,3000,IOWA,WR,ILL,2.2
Jackson Ritter,3000,IOWA,WR,ILL,0.0
Isaiah Wagner,3000,IOWA,WR,ILL,0.0
Wyatt Wegener,3000,IOWA,WR,ILL,0.0
Jackson Frericks,3000,IOWA,WR,ILL,0.0
Andrew Wilson,3000,IOWA,WR,ILL,0.0
Patrick Gurd,3000,OHIOST,WR,MSU,0.0
Jack Albers,4500,PURDUE,QB,NEB,0.0
Andrew Hobson,4500,PURDUE,QB,NEB,0.0
Tirek Murphy,3000,PURDUE,RB,NEB,0.0
Henry Lewis,3000,PURDUE,RB,NEB,0.0
Alex Maxwell,3000,PURDUE,WR,NEB,0.0
Jake Smith,3000,PURDUE,WR,NEB,0.0
Camdyn Childers,3000,PURDUE,WR,NEB,0.0
Andrew Sowinski,3000,PURDUE,WR,NEB,0.0
Daniel Roach,3000,PURDUE,WR,NEB,0.0
Grant Summers,3000,PURDUE,WR,NEB,0.0
Collin Sullivan,3000,PURDUE,WR,NEB,0.0
Ben Buechel,3000,PURDUE,WR,NEB,0.0
Dylan Wright,3000,TEXA&M,WR,AUBURN,0.0
Kenyon Jackson,3000,TEXA&M,WR,AUBURN,0.0
Grant Gremel,4500,IND,QB,WISC,0.0
Will Jontz,4500,IND,QB,WISC,0.0
Zack Merrill,4500,IND,QB,WISC,0.0
Dexter Williams,5300,IND,QB,WISC,0.0
Lorenzo Dorr,3000,WVU,RB,IAST,-0.1
Sam Brown,3000,WVU,WR,IAST,3.3
Reese Smith,3000,WVU,WR,IAST,4.8
Charles Finley,3000,WVU,WR,IAST,1.2
Graeson Malashevich,3000,WVU,WR,IAST,4.0
Freddie Brown,3000,WVU,WR,IAST,0.0
CJ Cole,3000,WVU,WR,IAST,0.0
Preston Fox,3000,WVU,WR,IAST,0.0
Devell Washington,3000,WVU,WR,IAST,0.0
Owen Chafin,3000,WVU,RB,IAST,0.0
A'varius Sparrow,3000,WVU,RB,IAST,1.0
Chris Barfield,3000,UVA,RB,BC,0.0
Terry Lockett,3000,MSU,WR,OHIOST,1.4
Ian Stewart,3000,MSU,WR,OHIOST,0.0
Montorie Foster,3000,MSU,WR,OHIOST,0.0
Tommy Guajardo,3000,MSU,WR,OHIOST,0.0
Noah Kim,4500,MSU,QB,OHIOST,0.0
Nick Hunter,3000,MSU,WR,OHIOST,0.0
Cade McDonald,3000,MSU,WR,OHIOST,3.5
Jahz Watts,3000,MSU,WR,OHIOST,0.0
Kennedy Lewis,3000,TEX,WR,KANST,0.0
Haynes King,4500,TEXA&M,QB,AUBURN,4.8
Luke MacPhail,4500,SYR,QB,ND,0.0
Malcolm Johnson,3000,AUBURN,WR,TEXA&M,0.0
Gabriel Watson,3000,TEX,RB,KANST,0.0
Zach Middleton,3000,OKST,WR,TCU,0.0
Connor Cook,3000,TEXA&M,RB,AUBURN,0.0
Stacy Brown,3000,TEX,WR,KANST,0.0
